"export-plots data (NetLogo 5.3.1)"
"terrorist-network.nlogo"
"11/26/2017 23:46:04:740 +0800"

"MODEL SETTINGS"
"links-with-others","terror-range","show-fear-index?","groups","initial-residual-fear","intervation-delay","people-network?","media?","guidance-effort","intervention-ability-to-media","resource-utilization-rate","residual-decay-rate","media-numbers","show-residual-fear?","media-frequency","government-credibility","level-of-intervation","media-public-influence","media-information-authenticity","people-population","terror-severity","network-communication-frequency","numbers-of-intervation"
"2","5","false","5","100","0","true","true","0","0","1","2","10","true","2","0","0","1","0.4","100","100","20","1"

"""fear-index of people"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","100","0","100","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","25"

"""default"""
"x","y","color","pen down?"
"91","100","0","true"
"32","100","0","true"
"0","100","0","true"
"18","100","0","true"
"38","100","0","true"
"2","100","0","true"
"83","100","0","true"
"17","100","0","true"
"27","100","0","true"
"20","100","0","true"
"77","100","0","true"
"1","100","0","true"
"62","100","0","true"
"99","100","0","true"
"58","100","0","true"
"42","100","0","true"
"48","100","0","true"
"28","100","0","true"
"73","100","0","true"
"71","100","0","true"
"93","100","0","true"
"45","100","0","true"
"81","100","0","true"
"74","100","0","true"
"80","100","0","true"
"14","100","0","true"
"5","100","0","true"
"78","100","0","true"
"37","100","0","true"
"86","100","0","true"
"63","100","0","true"
"4","100","0","true"
"16","100","0","true"
"53","100","0","true"
"36","100","0","true"
"39","100","0","true"
"23","100","0","true"
"69","100","0","true"
"72","100","0","true"
"15","100","0","true"
"24","100","0","true"
"87","100","0","true"
"68","100","0","true"
"75","100","0","true"
"79","100","0","true"
"41","100","0","true"
"33","100","0","true"
"66","100","0","true"
"92","100","0","true"
"50","100","0","true"
"49","100","0","true"
"94","100","0","true"
"67","100","0","true"
"46","100","0","true"
"64","100","0","true"
"60","100","0","true"
"89","100","0","true"
"35","100","0","true"
"61","100","0","true"
"26","100","0","true"
"90","100","0","true"
"59","100","0","true"
"44","100","0","true"
"3","100","0","true"
"84","100","0","true"
"56","100","0","true"
"55","100","0","true"
"21","100","0","true"
"88","100","0","true"
"29","100","0","true"
"52","100","0","true"
"47","100","0","true"
"57","100","0","true"
"40","100","0","true"
"70","100","0","true"
"54","100","0","true"
"10","100","0","true"
"6","100","0","true"
"22","100","0","true"
"96","100","0","true"
"11","100","0","true"
"85","100","0","true"
"13","100","0","true"
"34","100","0","true"
"97","100","0","true"
"31","100","0","true"
"9","100","0","true"
"98","100","0","true"
"51","100","0","true"
"8","100","0","true"
"12","100","0","true"
"19","100","0","true"
"76","100","0","true"
"82","100","0","true"
"7","100","0","true"
"95","100","0","true"
"65","100","0","true"
"43","100","0","true"
"30","100","0","true"
"25","100","0","true"

"""risk-perception-bias of people"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","100","0","1","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","25"

"""default"""
"x","y","color","pen down?"
"91","0.67","0","true"
"32","0.69","0","true"
"0","0.67","0","true"
"18","0.69","0","true"
"38","0.67","0","true"
"2","0.69","0","true"
"83","0.67","0","true"
"17","0.67","0","true"
"27","0.67","0","true"
"20","0.68","0","true"
"77","0.68","0","true"
"1","0.67","0","true"
"62","0.67","0","true"
"99","0.67","0","true"
"58","0.67","0","true"
"42","0.68","0","true"
"48","0.67","0","true"
"28","0.67","0","true"
"73","0.67","0","true"
"71","0.67","0","true"
"93","0.67","0","true"
"45","0.68","0","true"
"81","0.67","0","true"
"74","0.67","0","true"
"80","0.67","0","true"
"14","0.67","0","true"
"5","0.67","0","true"
"78","0.67","0","true"
"37","0.68","0","true"
"86","0.67","0","true"
"63","0.67","0","true"
"4","0.67","0","true"
"16","0.68","0","true"
"53","0.68","0","true"
"36","0.67","0","true"
"39","0.67","0","true"
"23","0.67","0","true"
"69","0.67","0","true"
"72","0.68","0","true"
"15","0.67","0","true"
"24","0.69","0","true"
"87","0.67","0","true"
"68","0.67","0","true"
"75","0.67","0","true"
"79","0.67","0","true"
"41","0.67","0","true"
"33","0.67","0","true"
"66","0.67","0","true"
"92","0.67","0","true"
"50","0.67","0","true"
"49","0.67","0","true"
"94","0.67","0","true"
"67","0.67","0","true"
"46","0.67","0","true"
"64","0.68","0","true"
"60","0.68","0","true"
"89","0.67","0","true"
"35","0.67","0","true"
"61","0.67","0","true"
"26","0.67","0","true"
"90","0.68","0","true"
"59","0.67","0","true"
"44","0.67","0","true"
"3","0.67","0","true"
"84","0.67","0","true"
"56","0.68","0","true"
"55","0.7","0","true"
"21","0.69","0","true"
"88","0.67","0","true"
"29","0.69","0","true"
"52","0.67","0","true"
"47","0.67","0","true"
"57","0.67","0","true"
"40","0.67","0","true"
"70","0.69","0","true"
"54","0.67","0","true"
"10","0.67","0","true"
"6","0.68","0","true"
"22","0.67","0","true"
"96","0.67","0","true"
"11","0.69","0","true"
"85","0.69","0","true"
"13","0.69","0","true"
"34","0.67","0","true"
"97","0.69","0","true"
"31","0.67","0","true"
"9","0.67","0","true"
"98","0.68","0","true"
"51","0.68","0","true"
"8","0.69","0","true"
"12","0.67","0","true"
"19","0.69","0","true"
"76","0.67","0","true"
"82","0.68","0","true"
"7","0.67","0","true"
"95","0.71","0","true"
"65","0.67","0","true"
"43","0.67","0","true"
"30","0.67","0","true"
"25","0.67","0","true"

"""fear-sacle of people"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5360","0","100","true","""Slite fear""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""Slite fear""","true","0","1","55","4797"
"""Moderate fear""","true","0","1","105","4797"
"""Server fear""","true","0","1","25","4797"
"""Extreme fear""","true","0","1","15","4797"

"""Slite fear""",,,,"""Moderate fear""",,,,"""Server fear""",,,,"""Extreme fear"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","21","55","true","0","31","105","true","0","19","25","true","0","29","15","true"
"1","21","55","true","1","31","105","true","1","18","25","true","1","30","15","true"
"2","21","55","true","2","31","105","true","2","18","25","true","2","30","15","true"
"3","21","55","true","3","31","105","true","3","18","25","true","3","30","15","true"
"4","21","55","true","4","31","105","true","4","18","25","true","4","30","15","true"
"5","21","55","true","5","31","105","true","5","18","25","true","5","30","15","true"
"6","21","55","true","6","31","105","true","6","18","25","true","6","30","15","true"
"7","21","55","true","7","31","105","true","7","18","25","true","7","30","15","true"
"8","21","55","true","8","31","105","true","8","18","25","true","8","30","15","true"
"9","21","55","true","9","31","105","true","9","18","25","true","9","30","15","true"
"10","21","55","true","10","31","105","true","10","18","25","true","10","30","15","true"
"11","21","55","true","11","31","105","true","11","18","25","true","11","30","15","true"
"12","21","55","true","12","31","105","true","12","18","25","true","12","30","15","true"
"13","21","55","true","13","31","105","true","13","18","25","true","13","30","15","true"
"14","21","55","true","14","31","105","true","14","18","25","true","14","30","15","true"
"15","21","55","true","15","31","105","true","15","18","25","true","15","30","15","true"
"16","21","55","true","16","31","105","true","16","18","25","true","16","30","15","true"
"17","21","55","true","17","31","105","true","17","18","25","true","17","30","15","true"
"18","21","55","true","18","31","105","true","18","18","25","true","18","30","15","true"
"19","21","55","true","19","31","105","true","19","18","25","true","19","30","15","true"
"20","21","55","true","20","31","105","true","20","18","25","true","20","30","15","true"
"21","18","55","true","21","34","105","true","21","18","25","true","21","30","15","true"
