"export-plots data (NetLogo 5.3.1)"
"terrorist-network.nlogo"
"11/26/2017 23:49:33:090 +0800"

"MODEL SETTINGS"
"links-with-others","terror-range","show-fear-index?","groups","initial-residual-fear","intervation-delay","people-network?","media?","guidance-effort","intervention-ability-to-media","resource-utilization-rate","residual-decay-rate","media-numbers","show-residual-fear?","media-frequency","government-credibility","level-of-intervation","media-public-influence","media-information-authenticity","people-population","terror-severity","network-communication-frequency","numbers-of-intervation"
"2","5","false","5","100","0","true","true","0","0","1","2","10","true","2","0","0","1","0.8","100","100","20","1"

"""fear-index of people"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","100","0","100","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","65"

"""default"""
"x","y","color","pen down?"
"77","100","0","true"
"92","100","0","true"
"60","100","0","true"
"90","100","0","true"
"35","100","0","true"
"79","100","0","true"
"48","100","0","true"
"70","100","0","true"
"6","100","0","true"
"72","100","0","true"
"34","100","0","true"
"69","100","0","true"
"26","100","0","true"
"8","100","0","true"
"32","100","0","true"
"5","100","0","true"
"62","100","0","true"
"45","100","0","true"
"54","100","0","true"
"64","100","0","true"
"61","100","0","true"
"76","100","0","true"
"81","100","0","true"
"28","100","0","true"
"80","100","0","true"
"87","100","0","true"
"49","100","0","true"
"51","100","0","true"
"29","100","0","true"
"19","100","0","true"
"10","100","0","true"
"14","100","0","true"
"23","100","0","true"
"68","100","0","true"
"40","100","0","true"
"31","100","0","true"
"9","100","0","true"
"46","100","0","true"
"75","100","0","true"
"52","100","0","true"
"59","100","0","true"
"71","100","0","true"
"4","100","0","true"
"56","100","0","true"
"27","100","0","true"
"12","100","0","true"
"96","100","0","true"
"2","100","0","true"
"66","100","0","true"
"95","100","0","true"
"13","100","0","true"
"63","100","0","true"
"11","100","0","true"
"50","100","0","true"
"88","100","0","true"
"36","100","0","true"
"21","100","0","true"
"82","100","0","true"
"38","100","0","true"
"18","100","0","true"
"1","100","0","true"
"74","100","0","true"
"58","100","0","true"
"99","100","0","true"
"94","100","0","true"
"57","100","0","true"
"47","100","0","true"
"55","100","0","true"
"7","100","0","true"
"15","100","0","true"
"78","100","0","true"
"17","100","0","true"
"24","100","0","true"
"30","100","0","true"
"73","100","0","true"
"37","100","0","true"
"41","100","0","true"
"67","100","0","true"
"42","100","0","true"
"0","100","0","true"
"89","100","0","true"
"93","100","0","true"
"91","100","0","true"
"33","100","0","true"
"84","100","0","true"
"53","100","0","true"
"3","100","0","true"
"43","100","0","true"
"98","100","0","true"
"44","100","0","true"
"20","100","0","true"
"22","100","0","true"
"25","100","0","true"
"83","100","0","true"
"39","100","0","true"
"86","100","0","true"
"16","100","0","true"
"85","100","0","true"
"97","100","0","true"
"65","100","0","true"

"""risk-perception-bias of people"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","100","0","1","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","65"

"""default"""
"x","y","color","pen down?"
"77","0.67","0","true"
"92","0.72","0","true"
"60","0.68","0","true"
